,,,,,,,,,,,,,,,,,
Empl ID,Last Name,First Name,Gender,Races,Address,City,State,Zip Code,Position ,Department,Cell Phone,Other Phone,Email,Hires Date,Hire Months,Hires Year,Hires Source
1001,Aasen,Flores,Female,Native Hawaiian/Pacific Islander,7167 Burning Circles, Sunrise Vista, CA, 90842,HRM Officer,HRM,5514284049,6794286992,Flor.Aasen@TestCompany.com,27/11/2018,November,2018,Linkedin
1063,Aasen,Georgene ,Male,Native Hawaiian/Pacific Islander,7167 Burning Circles, Alimur Park Mobile Home Park, CA, 93563,Manager Assistant,Manager Assistant,7734168429,7832043729,Georgene.Finney@TestCompany.com,12/2/2014,February,2014,Linkedin
1220,Ableing,Jeff,Male,Black/African Amercian,,,,,HRM Officer,HRM,,,AbleingJeff@TestCompant.com,2/5/2020,May,2020,Twitter
1219,Abners,John J,Male,Black/African Amercian,,,,,Accountant,Finance,,,Abners@TestCompany.com,15/4/2014,April,2014,Twitter
1002,Angle,Tanya ,Non-Binary,White,7072 Pleasant View View, Eileen, CA, 92482,HRM Assistant,HRM,4252386350,7510621460,Tanya.Angle@TestCompany.com,15/4/2014,April,2014,Website
1003,Angles,Jazmin ,Non-Binary,Native Hawaiian/Pacific Islander,2747 Clear Pony Heath, Ueland Place, CA, 90167,Accountant,Finance,3798408654,7397876730,Jazmin.Angles@TestCompany.com,15/4/2014,April,2014,Website
1004,Ardon,Irish ,Non-Binary,Native Hawaiian/Pacific Islander,4197 Harvest Beacon Bend, Westend, CA, 94484,Reservationist,Admin,3812268225,6901660754,Irish.Ardon@TestCompany.com,15/4/2014,April,2014,Website
1005,Armagost,Salena ,Female,Native Hawaiian/Pacific Islander,3064 Honey Pioneer Port, Leona Valley, CA, 94702,Customer Service Representative,Customer Service,4164243252,7370994326,Salena.Armagost@TestCompany.com,27/11/2018,November,2018,Website
1006,Audie,Euna ,Female,White,2073 Rocky Thicket, Rolands, CA, 93200,Customer Service Representative,Customer Service,7520099440,3821290021,Euna.Audie@TestCompany.com,12/3/2022,March,2022,Website
1007,Baily,Chase ,Male,White,8334 Dewy Rise Arbor, Nielson Place, CA, 92203,Customer Service Representative,Customer Service,6981026841,6692940524,Chase.Baily@TestCompany.com,12/3/2022,March,2022,Website
1008,Banta,Breana ,Female,White,2073 Rocky Thicket, Rolands, CA, 93200,Customer Service Assistant,Customer Service,5335440588,5965906531,Breana.Banta@TestCompany.com,27/11/2018,November,2018,Website
1009,Barbaro,Moises ,Male,White,3420 Grand Dell, Vasona Junction, CA, 95204,Office Assistant,Admin,7623297254,3852446707,Moises.Barbaro@TestCompany.com,29/3/2014,March,2014,Website
1010,Barret,Fredda ,Non-Binary,White,61 Hidden Dale Wood, Tarzana, CA, 93292,Cleanser,Cleanser,6012239953,7152696556,Fredda.Barret@TestCompany.com,2/5/2020,May,2020,Indeed
1011,Barton,Sherwood ,Female,White,326 High Estates, Wheeler Ridge, CA, 90758,Cleanser,Cleanser,4488838799,3715777492,Sherwood.Barton@TestCompany.com,2/5/2020,May,2020,FaceBook
1012,Batie,Theresa ,Female,Black/African Amercian,7642 Dusty Butterfly Wharf, Mabie, CA, 90423,Accountant,Finance,3595866057,6092928455,Theresa.Batie@TestCompany.com,2/5/2020,May,2020,FaceBook
1013,Behling,Phebe ,Female,Black/African Amercian,5815 Cinder Circle, Indian Creek, CA, 92720,Project Supervisor,Marketing,6033299090,7093220863,Phebe.Behling@TestCompany.com,15/4/2014,April,2014,Indeed
1014,Bevers,Mitchel ,Male,Black/African Amercian,794 Thunder Berry Inlet, Ranchita, CA, 95909,Manager,Manager,5502821711,7094616863,Mitchel.Bevers@TestCompany.com,12/2/2014,February,2014,Indeed
1015,Bevilacqua,Ammie ,Female,Black/African Amercian,486 Silent Sky Chase Dr., Cockatoo Grove, CA, 93118,Customer Service Officer,Customer Service,7222412397,4672852617,Ammie.Bevilacqua@TestCompany.com,11/2/2014,February,2014,Indeed
1016,Blaker,Mildred ,Female,Black/African Amercian,7167 Burning Circle, Sunrise Vista, CA, 90842,Customer Service Manger,Customer Service,4709734799,4825742361,Mildred.Blaker@TestCompany.com,12/2/2014,February,2014,Linkedin
1017,Blakes,Angla ,Female,White,715 Iron Grove Byway, Pine Hill, CA, 93150,Accountant,Finance,6736137832,7667341345,Angla.Blakes@TestCompany.com,15/4/2014,April,2014,FaceBook
1018,Blowe,Salome ,Female,White,1547 Hazy Quail Loop, Middletown, CA, 94803,Office Administrator,Admin,4438906206,6400207477,Salome.Blowe@TestCompany.com,27/11/2018,November,2018,FaceBook
1019,Bodner,Chanell ,Female,White,7529 Emerald Goose Cape, Nitro, CA, 92612,HRM Officer,HRM,6420703825,3735173868,Chanell.Bodner@TestCompany.com,2/5/2020,May,2020,Indeed
1020,Boman,Gia ,Female,White,488 Dusty Park, Pasadena, CA, 90514,Reservationist,Admin,5891292167,6548281784,Gia.Boman@TestCompany.com,13/5/2014,May,2014,Indeed
1021,Bragg,Karly ,Female,White,3592 Fallen Vista, Mcpherson, CA, 94271,Technical Assistant,Technical,5771196493,7046125157,Karly.Bragg@TestCompany.com,12/3/2022,March,2022,Indeed
1022,Broaddus,Shaunna ,Female,Asian,4506 Rocky Creek Pathway, Fairfield, CA, 91397,Office Manager,Admin,4746426687,4220899853,Shaunna.Broaddus@TestCompany.com,12/2/2014,February,2014,FaceBook
1023,Brzozowski,Naoma ,Female,Black/African Amercian,715 Iron Grove Byway, Pine Hill, CA, 93150,Technical Assistant,Technical,5748688904,7821318961,Naoma.Brzozowski@TestCompany.com,12/3/2022,March,2022,Linkedin
1024,Cade,Morton ,Male,Black/African Amercian,6334 Colonial Cove, Del Mar Heights, CA, 94733,Sale Assistant,Sale ,6686334888,7102609407,Morton.Cade@TestCompany.com,12/4/2015,April,2015,Linkedin
1025,Caesar,Roselle ,Female,Native Hawaiian/Pacific Islander,9070 Umber Nectar Path, Lindcove, CA, 95265,Sale Associate,Sale ,6760745894,4004476173,Roselle.Caesar@TestCompany.com,12/4/2015,April,2015,Linkedin
1026,Callahan,Elinor ,Female,Asian,145 Burning By-pass, Regina Heights, CA, 96064,Cleanser,Cleanser,4654928345,7814972251,Elinor.Callahan@TestCompany.com,12/4/2015,April,2015,Linkedin
1027,Caroll,Ashlyn ,Female,Asian,1855 Old Orchard, Cambria Pines, CA, 94636,HRM Intern,HRM,7606118988,5673544650,Ashlyn.Caroll@TestCompany.com,12/4/2015,April,2015,Linkedin
1028,Cary,Tona ,Male,Asian,794 Thunder Berry Inlet, Ranchita, CA, 95909,Technical Manger,Technical,7225347908,3913487710,Tona.Cary@TestCompany.com,12/2/2014,February,2014,Linkedin
1029,Casa,Rosina ,Female,Black/African Amercian,2747 Clear Pony Heath, Ueland Place, CA, 90167,HRM Officer,HRM,6806736409,6940369002,Rosina.Casa@TestCompany.com,15/4/2014,April,2014,FaceBook
